seed,graph_file,memory_architecture,model,topic,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,condition_id,tar_probe_member,exposure_rule
4003,scale-free,window,qwen3.5-4b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b/seed_4003/run/probe_events.jsonl.gz,0.0234375,exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b/seed_4003/run/probe_events.jsonl.gz,-0.0234375,graph_file=scale-free|memory_architecture=window|model=qwen3.5-4b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,scale-free,window,qwen3.5-4b,euthanasia,0.03125,exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b/seed_4004/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b/seed_4004/run/probe_events.jsonl.gz,0.03125,graph_file=scale-free|memory_architecture=window|model=qwen3.5-4b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,scale-free,window,qwen3.5-4b,euthanasia,0.0234375,exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-qwen3.5-4b/seed_4005/run/probe_events.jsonl.gz,0.0078125,exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-qwen3.5-4b/seed_4005/run/probe_events.jsonl.gz,0.015625,graph_file=scale-free|memory_architecture=window|model=qwen3.5-4b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4001,scale-free,window,gemma-4-31b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b/seed_4001/run/probe_events.jsonl.gz,0.08203125,exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b/seed_4001/run/probe_events.jsonl.gz,-0.08203125,graph_file=scale-free|memory_architecture=window|model=gemma-4-31b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4002,scale-free,window,gemma-4-31b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b/seed_4002/run/probe_events.jsonl.gz,0.09765625,exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b/seed_4002/run/probe_events.jsonl.gz,-0.09765625,graph_file=scale-free|memory_architecture=window|model=gemma-4-31b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4003,scale-free,window,gemma-4-31b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b/seed_4003/run/probe_events.jsonl.gz,0.12109375,exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b/seed_4003/run/probe_events.jsonl.gz,-0.12109375,graph_file=scale-free|memory_architecture=window|model=gemma-4-31b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,scale-free,window,gemma-4-31b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b/seed_4004/run/probe_events.jsonl.gz,0.10546875,exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b/seed_4004/run/probe_events.jsonl.gz,-0.10546875,graph_file=scale-free|memory_architecture=window|model=gemma-4-31b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,scale-free,window,gemma-4-31b,euthanasia,0.0,exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__model-gemma-4-31b/seed_4005/run/probe_events.jsonl.gz,0.09765625,exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__model-gemma-4-31b/seed_4005/run/probe_events.jsonl.gz,-0.09765625,graph_file=scale-free|memory_architecture=window|model=gemma-4-31b|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4001,scale-free,window,qwen3.5-27b-fp8,ai-decisions,-0.015625,exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions/seed_4001/run/probe_events.jsonl.gz,0.0390625,exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions/seed_4001/run/probe_events.jsonl.gz,-0.0546875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=ai-decisions,Z1,h1_exposure_rule,default_grid,default,,,
4002,scale-free,window,qwen3.5-27b-fp8,ai-decisions,-0.0546875,exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions/seed_4002/run/probe_events.jsonl.gz,0.02734375,exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions/seed_4002/run/probe_events.jsonl.gz,-0.08203125,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=ai-decisions,Z1,h1_exposure_rule,default_grid,default,,,
4003,scale-free,window,qwen3.5-27b-fp8,ai-decisions,-0.0234375,exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions/seed_4003/run/probe_events.jsonl.gz,0.01953125,exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions/seed_4003/run/probe_events.jsonl.gz,-0.04296875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=ai-decisions,Z1,h1_exposure_rule,default_grid,default,,,
4004,scale-free,window,qwen3.5-27b-fp8,ai-decisions,-0.01171875,exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions/seed_4004/run/probe_events.jsonl.gz,0.09375,exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions/seed_4004/run/probe_events.jsonl.gz,-0.10546875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=ai-decisions,Z1,h1_exposure_rule,default_grid,default,,,
4005,scale-free,window,qwen3.5-27b-fp8,ai-decisions,0.0,exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-ai-decisions/seed_4005/run/probe_events.jsonl.gz,0.0078125,exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-ai-decisions/seed_4005/run/probe_events.jsonl.gz,-0.0078125,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=ai-decisions,Z1,h1_exposure_rule,default_grid,default,,,
4001,scale-free,window,qwen3.5-27b-fp8,lifespan,-0.01171875,exposure_rule-stance-sim__graph_file-scale-free__topic-lifespan,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-lifespan/seed_4001/run/probe_events.jsonl.gz,0.03515625,exposure_rule-chrono__graph_file-scale-free__topic-lifespan,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-lifespan/seed_4001/run/probe_events.jsonl.gz,-0.046875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=lifespan,Z1,h1_exposure_rule,default_grid,default,,,
4002,scale-free,window,qwen3.5-27b-fp8,lifespan,-0.01171875,exposure_rule-stance-sim__graph_file-scale-free__topic-lifespan,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free__topic-lifespan/seed_4002/run/probe_events.jsonl.gz,0.0390625,exposure_rule-chrono__graph_file-scale-free__topic-lifespan,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free__topic-lifespan/seed_4002/run/probe_events.jsonl.gz,-0.05078125,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=lifespan,Z1,h1_exposure_rule,default_grid,default,,,
